,activation,depth,filters,kernel_initializer,pooling,random_state,graph,model,config_ID,batch_size,max_epochs,learning_rate,optimizer_class,loss_function,early_stopping_startingepoch,early_stopping_patience,reduce_lr_on_plateau_patience,reduce_lr_on_plateau_factor,trainable_params,non_trainable_params,total_params,loss,mre_av,mre_phi,mae
107,elu,5,10,glorot_normal,reduce_max,2402,BA,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7676896452903748,0.0110439686104655,0.035834677517414,0.5239486694335938
108,elu,5,10,glorot_normal,reduce_max,2403,BA,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7766890525817871,0.0110142417252063,0.0385789759457111,0.5222666263580322
109,elu,5,10,glorot_normal,reduce_max,2404,BA,EWGINN,21,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7826270461082458,0.0112008061259984,0.0385232083499431,0.5315265655517578
110,elu,7,10,glorot_normal,reduce_max,2400,BA,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,176930,140,177070,0.7389163374900818,0.0106706907972693,0.0333154462277889,0.505864679813385
111,elu,7,10,glorot_normal,reduce_max,2401,BA,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,176930,140,177070,0.7906583547592163,0.0112884761765599,0.0346695594489574,0.5356568098068237
112,elu,7,10,glorot_normal,reduce_max,2402,BA,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,176930,140,177070,0.7909726500511169,0.0113508515059947,0.034353245049715,0.538257896900177
113,elu,7,10,glorot_normal,reduce_max,2403,BA,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,176930,140,177070,0.7817113399505615,0.0111578125506639,0.0342813655734062,0.5289393067359924
114,elu,7,10,glorot_normal,reduce_max,2404,BA,EWGINN,22,32,5000,2,Adam,mse,200,550,50,0.5,176930,140,177070,0.7943995594978333,0.0114095099270343,0.0332196690142154,0.5412175059318542
115,elu,9,10,glorot_normal,reduce_max,2400,BA,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,229890,180,230070,0.8025772571563721,0.0112942839041352,0.0340259596705436,0.5359651446342468
116,elu,9,10,glorot_normal,reduce_max,2401,BA,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,229890,180,230070,0.8184176683425903,0.0115064950659871,0.0355010852217674,0.5448991060256958
117,elu,9,10,glorot_normal,reduce_max,2402,BA,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,229890,180,230070,0.8164264559745789,0.0114139299839735,0.0314407683908939,0.5413944721221924
118,elu,9,10,glorot_normal,reduce_max,2403,BA,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,229890,180,230070,0.7862432599067688,0.0111126657575368,0.0329247266054153,0.5268818140029907
119,elu,9,10,glorot_normal,reduce_max,2404,BA,EWGINN,23,32,5000,2,Adam,mse,200,550,50,0.5,229890,180,230070,0.7947028279304504,0.0111622773110866,0.0323916934430599,0.5288665294647217
120,elu,3,10,glorot_normal,reduce_mean,2400,BA,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.9012946486473083,0.0128511302173137,0.0481302253901958,0.6070780158042908
121,elu,3,10,glorot_normal,reduce_mean,2401,BA,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.8863486051559448,0.0125383492559194,0.0458682440221309,0.5926682353019714
122,elu,3,10,glorot_normal,reduce_mean,2402,BA,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.932945966720581,0.0130783962085843,0.0484293922781944,0.6182096600532532
123,elu,3,10,glorot_normal,reduce_mean,2403,BA,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.8900489807128906,0.012664733454585,0.0510924644768238,0.5982505679130554
124,elu,3,10,glorot_normal,reduce_mean,2404,BA,EWGINN,24,32,5000,2,Adam,mse,200,550,50,0.5,71010,60,71070,0.9401710629463196,0.013266310095787,0.0521510429680347,0.62567138671875
125,elu,5,10,glorot_normal,reduce_mean,2400,BA,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7427526116371155,0.0111355781555175,0.0368376597762107,0.5270517468452454
126,elu,5,10,glorot_normal,reduce_mean,2401,BA,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7734796404838562,0.0118130445480346,0.0371246822178363,0.5585540533065796
127,elu,5,10,glorot_normal,reduce_mean,2402,BA,EWGINN,25,32,5000,2,Adam,mse,200,550,50,0.5,123970,100,124070,0.7789633870124817,0.0116115864366292,0.0380425341427326,0.5493622422218323
